id_municipio,municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,erro_padrao,residuo,residuo_z,risco
3160959,São Domingos das Dores,MG,Sudeste,94,0.8257490847979958,0.9361702127659575,0.03911566611924104,0.11042112796796166,2.822938707763573,0.1742509152020042
4106555,Corumbataí do Sul,PR,Sul,58,0.8258069008848297,0.8793103448275862,0.04977195201301568,0.05350344394275652,1.0749717818735547,0.17419309911517034
3204609,Santa Teresa,ES,Sudeste,235,0.8260928345805746,0.825531914893617,0.024697051304551805,-0.000560919686957595,-0.022712010435602663,0.1739071654194254
4215604,Santa Rosa de Lima,SC,Sul,37,0.8261178663231911,0.8648648648648649,0.06228779544876104,0.03874699854167385,0.622064053840977,0.17388213367680894
4108957,Guamiranga,PR,Sul,89,0.8262789132852474,0.7191011235955056,0.04014493480078516,-0.10717778968974179,-2.669771173414525,0.17372108671475261
3159902,Santo Antônio do Amparo,MG,Sudeste,161,0.8263266478633194,0.8074534161490683,0.029832495521176033,-0.01887323171425115,-0.6326400585849193,0.17367335213668056
5222005,Vianópolis,GO,Centro-Oeste,153,0.8269282389299482,0.8954248366013072,0.030559153726573512,0.06849659767135907,2.241442884322941,0.17307176107005184
4103800,Cambira,PR,Sul,91,0.8270018305108828,0.8351648351648352,0.039630343912148466,0.008163004653952366,0.20597864787769457,0.17299816948911717
2700904,Belo Monte,AL,Nordeste,90,0.8271077493821963,0.9888888888888889,0.03983000895858035,0.1617811395066926,4.061790186262085,0.17289225061780367
5219704,Santa Terezinha de Goiás,GO,Centro-Oeste,73,0.8274642788271748,0.958904109589041,0.04420328235923157,0.13143983076186627,2.973531008255904,0.17253572117282523
4125456,São José das Palmeiras,PR,Sul,55,0.8275169072480633,0.7454545454545455,0.05091724015354348,-0.08206236179351778,-1.6116812605328692,0.17248309275193674
4103453,Cafelândia,PR,Sul,289,0.8276940239637592,0.7854671280276817,0.022210340839103438,-0.042226895936077535,-1.9012268313205274,0.17230597603624076
4320404,Serafina Corrêa,RS,Sul,144,0.8277886972438885,0.5416666666666666,0.031436524610227085,-0.28612203057722185,-9.101579583773049,0.17221130275611152
2100808,Anapurus,MA,Nordeste,109,0.8278281005559787,0.3394495412844037,0.036029116423207545,-0.488378559271575,-13.555107861512646,0.17217189944402134
4307203,Erval Grande,RS,Sul,53,0.8279787998515507,0.4716981132075472,0.051751440212537025,-0.3562806866440035,-6.884459353803507,0.17202120014844935
2301901,Barbalha,CE,Nordeste,705,0.828018518960874,0.8794326241134752,0.014208411501367584,0.05141410515260125,3.6185681381520065,0.17198148103912603
2603926,Carnaubeira da Penha,PE,Nordeste,53,0.8281655205948745,1.0,0.05179298361666226,0.17183447940512553,3.317717331693648,0.17183447940512553
4307906,Farroupilha,RS,Sul,703,0.8282617087624177,0.5604551920341394,0.01421510641317392,-0.26780651672827827,-18.839571716472502,0.17173829123758233
2205151,Jacobina do Piauí,PI,Nordeste,51,0.8285266346465662,0.8431372549019608,0.052636400528098544,0.014610620255394613,0.27757635607311565,0.17147336535343383
3147600,Passa Quatro,MG,Sudeste,141,0.8287269918700649,0.8085106382978723,0.03170186354817045,-0.020216353572192647,-0.6377023717067685,0.17127300812993507
4113809,Lupionópolis,PR,Sul,32,0.8289451554540842,0.78125,0.06651606820550399,-0.047695155454084204,-0.7170471247147104,0.1710548445459158
3144508,Nazareno,MG,Sudeste,88,0.8290208809073186,0.8522727272727273,0.040115462781142266,0.023251846365408668,0.5796230369387398,0.17097911909268138
4314076,Passo do Sobrado,RS,Sul,52,0.8294605910103072,0.5769230769230769,0.05210561043053076,-0.25253751408723035,-4.846647261218123,0.17053940898969278
4103305,Borrazópolis,PR,Sul,77,0.8295118378305922,0.7532467532467533,0.04280533803235554,-0.07626508458383896,-1.7816722887737038,0.17048816216940776
4321451,Teutônia,RS,Sul,268,0.8299634639271448,0.6305970149253731,0.022933411794228614,-0.1993664490017717,-8.69327472033376,0.17003653607285518
4111555,Ivaté,PR,Sul,83,0.8299907706211896,0.7710843373493976,0.04119366821001419,-0.058906433271792014,-1.4299875643866997,0.17000922937881036
4313201,Nova Petrópolis,RS,Sul,244,0.8300275407059978,0.5655737704918032,0.02401571718344891,-0.2644537702141946,-11.011695723850801,0.16997245929400218
4111308,Itaúna do Sul,PR,Sul,40,0.8303109800694507,0.4,0.05932583190137668,-0.4303109800694507,-7.253349279362826,0.1696890199305493
4124053,Santa Terezinha de Itaipu,PR,Sul,219,0.8308266016395921,0.7899543378995434,0.025331794812026447,-0.04087226374004871,-1.613476820072943,0.1691733983604079
3204658,São Domingos do Norte,ES,Sudeste,96,0.830968529887441,0.8541666666666666,0.03824799111274547,0.023198136779225664,0.6065190903972809,0.16903147011255903
4124509,Santo Inácio,PR,Sul,86,0.8310210760678254,0.8023255813953488,0.0403989672967626,-0.028695494672476562,-0.7103026783255446,0.16897892393217462
4303806,Campinas do Sul,RS,Sul,48,0.8310479055226204,0.6458333333333334,0.05392993225011575,-0.18521457218928705,-3.4343557364452195,0.16895209447737958
4101903,Assaí,PR,Sul,160,0.8315331207469528,0.80625,0.02958514774126967,-0.025283120746952825,-0.8545882876117684,0.16846687925304715
4126108,São Tomé,PR,Sul,73,0.8322307971000459,0.6986301369863014,0.04370002992013545,-0.1336006601137445,-3.057221250372325,0.16776920289995412
4119657,Pitangueiras,PR,Sul,35,0.8323551960313029,0.8285714285714286,0.06312038141117549,-0.0037837674598742987,-0.05994525659194419,0.16764480396869708
2308104,Mauriti,CE,Nordeste,532,0.8324317639908705,0.8439849624060151,0.016184084443801733,0.011553198415144572,0.7138617235508357,0.1675682360091295
4123006,Salto do Lontra,PR,Sul,168,0.8324320901625849,0.7738095238095238,0.028797088012153426,-0.05862256635306107,-2.035711608351518,0.1675679098374151
4120309,Porto Vitória,PR,Sul,40,0.8324778069753881,0.75,0.059014154683983654,-0.08247780697538809,-1.3975936352397238,0.1675221930246119
