id_municipio,municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,erro_padrao,residuo,residuo_z,risco,residuo_uf,residuo_ajustado,mun_lag_meta_ano_alvo,meta,distancia_ate_meta_pp,prob_nao_atingir,classificacao
4103057,Boa Vista da Aparecida,PR,Sul,90,0.6774107842121188,0.5333333333333333,0.04926576675022673,-0.14407745087878543,-2.924494235708254,0.32258921578788124,0.07813155795034676,-0.2222090088291322,73.58,0.7358,-5.838924363517128,0.8820286311362076,risco crítico
2209302,Santa Luz,PI,Nordeste,34,0.7082964407695926,0.5588235294117647,0.07781118177119918,-0.14947291135782792,-1.9209695567578877,0.29170355923040736,0.039222924566388706,-0.18869583592421663,80.0,0.8,-9.170357115133632,0.8807092535748018,risco crítico
5221700,Uruana,GO,Centro-Oeste,132,0.7165028883898387,0.9772727272727273,0.039176805715423924,0.2607698388828886,6.6562302393179404,0.28349711161016133,0.10274857715476204,0.15802126172812658,76.25,0.7625,-4.5997099689232375,0.8798205305214091,risco crítico
3304300,Rio Bonito,RJ,Sudeste,528,0.5736337278036778,0.571969696969697,0.021521417458847957,-0.0016640308339808119,-0.07731976005589214,0.42636627219632217,-0.013487646671521136,0.011823615837540324,59.87,0.5987,-2.5066259130984037,0.8779322610967789,risco crítico
4103958,Campina do Simão,PR,Sul,78,0.7426514782714672,0.8461538461538461,0.04947212297193531,0.10350236788237899,2.092135159453216,0.25734852172853284,0.07813155795034676,0.025370809932032223,80.0,0.8,-5.734853364946179,0.876814512314321,risco crítico
2203230,Currais,PI,Nordeste,39,0.7167258468304202,0.9230769230769231,0.07212129749122442,0.20635107624650295,2.861166998161831,0.2832741531695798,0.039222924566388706,0.16712815168011425,80.0,0.8,-8.327416509050877,0.875881146017549,risco crítico
5217203,Piranhas,GO,Centro-Oeste,119,0.7373455982131439,0.6974789915966386,0.04032716964508339,-0.03986660661650532,-0.9885793366449602,0.26265440178685606,0.10274857715476204,-0.14261518377126736,78.38,0.78379995,-4.645434809499205,0.8753264640688356,risco crítico
2933406,Wagner,BA,Nordeste,100,0.5209199834171587,0.45,0.04994446798889762,-0.07091998341715872,-1.4199767516379158,0.4790800165828413,-0.11217652645487203,0.04125654303771331,57.82,0.5782,-5.727999922596871,0.8742830981781596,risco crítico
2207850,Pavussu,PI,Nordeste,40,0.598266438248638,0.9,0.07749677269400332,0.301733561751362,3.893498416285793,0.401733561751362,0.039222924566388706,0.2625106371849733,68.54,0.6854,-8.713357090663543,0.8695679165963222,risco crítico
2302602,Camocim,CE,Nordeste,745,0.7832182948217624,0.9409395973154362,0.015090024686898363,0.15772130249367378,10.452024152790976,0.21678170517823758,0.15967059056633892,-0.0019492880726651451,80.0,0.8,-1.6781717099166538,0.8669538553016036,risco crítico
2505006,Cubati,PB,Nordeste,86,0.6750049398153722,0.9767441860465116,0.050491754981683706,0.30173924623113935,5.976010268222955,0.32499506018462776,-0.03568338079084338,0.3374226270219827,73.11,0.7311,-5.609508297744393,0.8667104681850111,risco crítico
4215604,Santa Rosa de Lima,SC,Sul,37,0.7178770953300244,0.8648648648648649,0.07395811879218595,0.1469877695348405,1.9874460293921175,0.2821229046699756,0.05230326180180411,0.09468450773303638,80.0,0.8,-8.212291659090454,0.8665861310592433,risco crítico
4117297,Novo Itacolomi,PR,Sul,35,0.7159793078530304,0.9714285714285714,0.07610857390422866,0.255449263575541,3.3563795834223087,0.28402069214696957,0.07813155795034676,0.17731770562519422,80.0,0.8,-8.402070406789852,0.8651944212510755,risco crítico
2202133,Campo Grande do Piauí,PI,Nordeste,72,0.7437904048486561,0.9583333333333334,0.0514092171685926,0.21454292848467726,4.173238580566207,0.2562095951513439,0.039222924566388706,0.17532000391828856,80.0,0.8,-5.620960707227285,0.8628856388495827,risco crítico
1703107,Barrolândia,TO,Norte,68,0.5627991740850601,0.5,0.06010762424260735,-0.06279917408506008,-1.0447788425572946,0.4372008259149399,-0.06871734061086132,0.005918166525801238,62.85,0.6285,-6.570081065615085,0.8628147044408427,risco crítico
4218905,Urubici,SC,Sul,113,0.5842932586521615,0.7610619469026548,0.046347458816871336,0.1767686882504933,3.8139887873668323,0.41570674134783847,0.05230326180180411,0.12446542644868919,63.46,0.6346,-5.030672504000766,0.8611334326386704,risco crítico
2515104,São Sebastião de Lagoa de Roça,PB,Nordeste,74,0.608472884241203,0.5675675675675675,0.05673341934937202,-0.040905316673635506,-0.7210091889885055,0.39152711575879695,-0.03568338079084338,-0.005221935882792128,66.95,0.6695,-6.102710908307674,0.8589652147268136,risco crítico
4207908,Irineópolis,SC,Sul,129,0.6873519134543837,0.7984496124031008,0.0407999650516488,0.11109769894871702,2.7229851498176068,0.31264808654561627,0.05230326180180411,0.0587944371469129,73.1,0.731,-4.364809274449932,0.85764692959866,risco crítico
